Complexity,System,N,Avg Iter,Std Iter,Avg Faith,Std Faith,Avg Latency,Avg Tokens
Simple,FSCL (N=2),50,2.0,0.0,0.6353,0.2593,14029.0,1914.0
Simple,GSAL θ=0.6,50,1.34,0.69,0.645,0.2477,10443.0,1310.0
Simple,GSAL θ=0.7,50,1.84,1.15,0.6178,0.2631,14047.0,1756.0
Simple,GSAL θ=0.8,50,2.18,1.12,0.6065,0.2791,16868.0,2177.0
Moderate,FSCL (N=2),50,2.0,0.0,0.6679,0.2337,13665.0,1788.0
Moderate,GSAL θ=0.6,50,1.34,0.69,0.7338,0.225,9798.0,1187.0
Moderate,GSAL θ=0.7,50,2.08,1.03,0.6657,0.2626,15675.0,1917.0
Moderate,GSAL θ=0.8,50,3.0,1.11,0.6478,0.2686,21821.0,2838.0
Complex,FSCL (N=2),50,2.0,0.0,0.6039,0.2739,13043.0,1806.0
Complex,GSAL θ=0.6,50,1.38,0.64,0.6644,0.2546,10305.0,1211.0
Complex,GSAL θ=0.7,50,1.86,0.97,0.6008,0.2463,13315.0,1669.0
Complex,GSAL θ=0.8,50,3.24,1.04,0.5363,0.2716,25148.0,3209.0
